id_product,id_image,position,cover
420,2728,2,1
420,2729,3,0
421,2603,1,1
421,2604,2,0
421,2605,3,0
422,2606,1,1
422,2607,2,0
422,2608,3,0
424,2644,1,0
424,2658,2,0
424,2659,3,0
424,2660,4,1
424,2661,5,0
424,2662,6,0
424,2663,7,0
424,2664,8,0
424,2665,9,0
425,2748,1,1
425,2853,2,0
425,2854,3,0
426,2701,1,0
426,2816,2,1
426,2817,3,0
426,2818,4,0
426,2819,5,0
427,2904,1,0
427,2909,2,0
427,3785,3,1
427,3786,4,0
427,3787,5,0
427,3788,6,0
427,3789,7,0
427,3790,8,0
429,2715,1,1
431,2730,1,1
431,2731,2,0
432,3434,1,0
432,3435,2,1
432,3436,3,0
432,3665,4,0
432,3666,5,0
433,3632,1,0
433,3633,2,1
433,3634,3,0
434,3603,1,0
434,3604,2,1
434,3605,3,0
435,3606,1,0
435,3607,2,1
436,3310,1,1
436,3311,2,0
437,2884,1,1
437,2885,2,0
438,2887,1,0
438,3608,2,1
439,3609,1,0
439,3610,2,1
440,3611,1,0
440,3612,2,1
441,3088,1,1
441,3089,2,0
442,2894,1,1
442,2895,2,0
443,3613,1,1
443,3614,2,0
444,2898,1,1
444,2899,2,0
446,3615,1,0
446,3616,2,1
447,3647,1,1
447,3648,2,0
447,3649,3,0
447,3650,4,0
448,2946,1,1
448,2947,2,0
448,2948,3,0
448,2949,4,0
448,2950,5,0
448,2951,6,0
448,2952,7,0
449,3161,1,0
449,3162,2,0
449,3163,3,0
449,3164,4,0
449,3165,5,0
449,3166,6,0
449,3167,7,0
449,3704,8,1
449,3705,9,0
449,3706,10,0
449,3707,11,0
451,2966,1,0
451,2967,2,1
451,2968,3,0
451,2969,4,0
452,3008,1,1
452,3009,2,0
452,3010,3,0
452,3011,4,0
454,3012,1,1
454,3014,2,0
454,3015,3,0
454,3331,4,0
454,3332,5,0
455,3017,1,1
455,3018,2,0
455,3019,3,0
455,3020,4,0
456,3021,1,1
456,3022,2,0
456,3023,3,0
456,3024,4,0
457,3025,1,1
457,3026,2,0
457,3027,3,0
457,3028,4,0
458,3029,1,0
458,3030,2,1
458,3031,3,0
458,3032,4,0
458,3033,5,0
459,3034,1,1
459,3035,2,0
459,3036,3,0
459,3037,4,0
460,3635,1,0
460,3636,2,1
460,3637,3,0
460,3638,4,0
460,3639,5,0
460,3640,6,0
461,3641,1,1
461,3642,2,0
461,3643,3,0
461,3644,4,0
461,3645,5,0
461,3646,6,0
462,3048,1,0
462,3049,2,1
462,3050,3,0
462,3051,4,0
462,3052,5,0
463,3053,1,1
463,3054,2,0
463,3055,3,0
463,3056,4,0
463,3057,5,0
464,3058,1,1
464,3059,2,0
464,3060,3,0
464,3061,4,0
464,3062,5,0
465,3063,1,0
465,3064,2,0
465,3065,3,0
465,3066,4,0
465,3067,5,0
465,3630,6,1
465,3631,7,0
467,3094,1,1
467,3095,2,0
467,3096,3,0
468,3097,1,0
468,3098,2,1
468,3099,3,0
469,3111,1,0
469,3112,2,0
469,3113,3,0
469,3114,4,0
469,3115,5,0
469,3116,6,0
469,3117,7,0
469,3866,8,0
469,3867,9,0
469,3868,10,1
469,3869,11,0
470,3132,1,0
470,3243,2,1
471,3195,1,1
471,3196,2,0
